# Enu/GeV nus/cm^2/POT/GeV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000139e-02 0.000000000000000000e+00 1.512698068225597128e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 0.000000000000000000e+00 3.873262656040988873e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000001110e-02 5.764439413563735211e-11 5.546843311008839719e-09 0.000000000000000000e+00 9.494144799141022328e-12 3.682507188710150003e-09 0.000000000000000000e+00
1.000000000000000056e-01 7.222460418374160899e-11 6.208292128351192517e-09 0.000000000000000000e+00 9.389839745793675676e-12 2.986564488293176931e-09 0.000000000000000000e+00
1.250000000000000000e-01 7.831802272261260397e-11 6.881931727208913206e-09 0.000000000000000000e+00 9.279911931508480906e-12 2.298526646535196106e-09 0.000000000000000000e+00
1.500000000000000222e-01 7.743855535922252191e-11 7.567782095380317406e-09 0.000000000000000000e+00 8.452935265229243474e-12 1.869871872230883915e-09 0.000000000000000000e+00
1.750000000000000167e-01 7.864640149980680310e-11 8.176409876538525600e-09 0.000000000000000000e+00 7.711285988201780010e-12 1.460878712011995107e-09 0.000000000000000000e+00
2.000000000000000111e-01 8.100810175786687973e-11 8.957954875855296451e-09 0.000000000000000000e+00 7.065539982347383513e-12 1.353571323393939421e-09 0.000000000000000000e+00
2.250000000000000056e-01 8.162095458780544503e-11 1.060076342398750731e-08 0.000000000000000000e+00 6.419793976492987824e-12 1.245781089823028750e-09 0.000000000000000000e+00
2.500000000000000000e-01 8.130221808243839074e-11 1.117052533638389870e-08 0.000000000000000000e+00 5.608718165454354828e-12 1.128050541475742919e-09 0.000000000000000000e+00
2.750000000000000222e-01 8.203351215823189458e-11 1.174624834866264782e-08 0.000000000000000000e+00 5.722601459744576064e-12 1.011268547513747489e-09 0.000000000000000000e+00
3.000000000000000444e-01 8.354311718080776144e-11 1.235687682810800403e-08 0.000000000000000000e+00 6.525605904582535918e-12 1.011398952995262273e-09 0.000000000000000000e+00
3.250000000000000111e-01 8.134205705820926065e-11 1.294677729999947578e-08 0.000000000000000000e+00 6.817033465322174716e-12 1.002024376979288283e-09 0.000000000000000000e+00
3.500000000000000333e-01 7.648421857223679691e-11 1.347138791242703368e-08 0.000000000000000000e+00 6.588979387450954118e-12 9.325842548810426714e-10 0.000000000000000000e+00
3.750000000000000000e-01 7.762392002350348438e-11 1.399375092409838789e-08 0.000000000000000000e+00 7.186873557663119618e-12 8.655404669484307516e-10 0.000000000000000000e+00
4.000000000000000222e-01 8.243848530946943740e-11 1.451167326692972568e-08 0.000000000000000000e+00 8.355880528830912559e-12 8.422935985999437742e-10 0.000000000000000000e+00
4.250000000000000444e-01 8.330498085559014839e-11 1.501437151598502276e-08 0.000000000000000000e+00 9.184536510293145503e-12 8.185279900972057219e-10 0.000000000000000000e+00
4.500000000000000111e-01 7.804378083882341927e-11 1.549698100992658455e-08 0.000000000000000000e+00 7.230487737848676548e-12 7.804618205459210606e-10 0.000000000000000000e+00
4.750000000000000333e-01 7.676769490712598732e-11 1.583724698234970690e-08 0.000000000000000000e+00 6.603929107963567447e-12 7.423956509946362960e-10 0.000000000000000000e+00
5.000000000000000000e-01 7.609833760189428003e-11 1.604933279782882016e-08 0.000000000000000000e+00 6.560791213197495263e-12 6.827133091881319206e-10 0.000000000000000000e+00
5.250000000000000222e-01 7.550050076162984687e-11 1.623198068105098441e-08 0.000000000000000000e+00 6.355767778311731498e-12 6.386332201679849440e-10 0.000000000000000000e+00
5.500000000000000444e-01 7.493285958197313944e-11 1.639667662509936367e-08 0.000000000000000000e+00 5.879895346888057031e-12 6.247214643216689890e-10 0.000000000000000000e+00
5.750000000000000666e-01 7.225589924673186825e-11 1.640097531354969107e-08 0.000000000000000000e+00 5.343693649243583628e-12 6.108097084753531374e-10 0.000000000000000000e+00
6.000000000000000888e-01 6.701974833979667233e-11 1.634171096135824334e-08 0.000000000000000000e+00 4.702639336417841231e-12 6.050437451002299359e-10 0.000000000000000000e+00
6.250000000000000000e-01 6.276252422260131582e-11 1.620495372820735055e-08 0.000000000000000000e+00 4.167172672618501612e-12 5.998694541918163859e-10 0.000000000000000000e+00
6.500000000000000222e-01 6.093621872400531440e-11 1.605015473160232228e-08 0.000000000000000000e+00 4.079286376918662805e-12 5.498495035042206576e-10 0.000000000000000000e+00
6.750000000000000444e-01 6.099855964138405760e-11 1.581994780986434912e-08 0.000000000000000000e+00 4.202661584915806477e-12 4.862484232508231615e-10 0.000000000000000000e+00
7.000000000000000666e-01 6.198795042738093526e-11 1.558179144638764340e-08 0.000000000000000000e+00 4.749869058814813940e-12 4.753303150400547825e-10 0.000000000000000000e+00
7.250000000000000888e-01 6.081284744794838070e-11 1.521312215314533479e-08 0.000000000000000000e+00 5.405442440163831191e-12 4.672329219732908730e-10 0.000000000000000000e+00
7.500000000000000000e-01 5.963057450354353573e-11 1.483983613508488709e-08 0.000000000000000000e+00 6.094157852348170602e-12 4.538639430778410352e-10 0.000000000000000000e+00
7.750000000000000222e-01 5.785780021144145017e-11 1.442304524069821327e-08 0.000000000000000000e+00 5.549185305950744818e-12 4.357193453495130691e-10 0.000000000000000000e+00
8.000000000000000444e-01 5.564354409718924205e-11 1.399659863018654260e-08 0.000000000000000000e+00 4.081859559102030787e-12 4.173860608454544988e-10 0.000000000000000000e+00
8.250000000000000666e-01 5.211441671454387253e-11 1.352921059164094208e-08 0.000000000000000000e+00 3.133264108929237264e-12 3.973580608200472167e-10 0.000000000000000000e+00
8.500000000000000888e-01 4.855702865378795767e-11 1.302556119321646655e-08 0.000000000000000000e+00 3.282519082107584455e-12 3.773300607946399345e-10 0.000000000000000000e+00
8.750000000000000000e-01 4.609152811114381529e-11 1.243125961854129543e-08 0.000000000000000000e+00 3.615959499239963983e-12 3.607033081061926997e-10 0.000000000000000000e+00
