# the oscillation parameters of (dm2, sin^2_theta14, and sin^2_theta_24) are divided into 80x60x60 grids 
# column 1-3: index for the dm2, sin^2_theta14, and sin^2_theta_24
# column 4-6: values of the dm2 (eV^2), sin^2_theta14, and sin^2_theta_24
# column 7: delta_Chi2 = Chi2_gridpoint - Chi2_globalmin
 1  2 49   0.0106 0.000126 0.171133       2.53145714
 1  2 50   0.0106 0.000126 0.199526       2.53169438
 1  2 51   0.0106 0.000126 0.232631       2.53194450
 1  2 52   0.0106 0.000126 0.271227       2.53220012
 1  2 53   0.0106 0.000126 0.316228       2.53244920
 1  2 54   0.0106 0.000126 0.368695       2.53267303
 1  2 55   0.0106 0.000126 0.429866       2.53285252
 1  2 56   0.0106 0.000126 0.501187       2.53292878
 1  2 57   0.0106 0.000126 0.584341       2.53285036
 1  2 58   0.0106 0.000126 0.681292       2.53253124
 1  2 59   0.0106 0.000126 0.794328       2.53185048
 1  2 60   0.0106 0.000126 0.926119       2.53067643
 1  3  1   0.0106 0.000147 0.000108       2.52958491
 1  3  2   0.0106 0.000147 0.000126       2.52958515
 1  3  3   0.0106 0.000147 0.000147       2.52958543
 1  3  4   0.0106 0.000147 0.000171       2.52958575
 1  3  5   0.0106 0.000147 0.000200       2.52958612
 1  3  6   0.0106 0.000147 0.000233       2.52958656
 1  3  7   0.0106 0.000147 0.000271       2.52958707
 1  3  8   0.0106 0.000147 0.000316       2.52958766
 1  3  9   0.0106 0.000147 0.000369       2.52958835
 1  3 10   0.0106 0.000147 0.000430       2.52958916
 1  3 11   0.0106 0.000147 0.000501       2.52959010
 1  3 12   0.0106 0.000147 0.000584       2.52959120
 1  3 13   0.0106 0.000147 0.000681       2.52959247
 1  3 14   0.0106 0.000147 0.000794       2.52959396
 1  3 15   0.0106 0.000147 0.000926       2.52959570
 1  3 16   0.0106 0.000147 0.001080       2.52959772
 1  3 17   0.0106 0.000147 0.001259       2.52960008
 1  3 18   0.0106 0.000147 0.001468       2.52960283
 1  3 19   0.0106 0.000147 0.001711       2.52960603
